,Title,Type,year,actors_info,language,subtitles
3321,Antes de la lluvia,film,1994,"['Katrin Cartlidge', 'Rade Serbedzija', 'Grégoire Colin', 'Labina Mitevska', 'Jay Villiers', 'Phyllida Law']","['Varios', 'Español']",['Español']
3322,Molokai: La historia del Padre Damián,film,1999,"['David Wenham', 'Sam Neill', ""Peter O'Toole"", 'Kris Kristofferson', 'Derek Jacobi', 'Tom Wilkinson', 'Leo McKern', 'Kate Ceberano']","['Varios', 'Español']",[]
3323,Onegin,film,1998,"['Ralph Fiennes', 'Liv Tyler', 'Toby Stephens', 'Lena Headey', 'Martin Donovan', 'Harriet Walter', 'Alun Armstrong', 'Irene Worth']","['Varios', 'Español']",['Español']
3324,Una vez más,film,2019,"['Silvia Acosta', 'Jacinto Bobo', 'Teresa Arbolí', 'Julia Rodríguez', 'Celia Vioque', 'Beatriz Arjona', 'Tatiana Sánchez Garland']",['Español'],['Inglés']
3325,Noticias de Yonas,short,2020,[],['Varios'],[]
3326,Yemen en guerra,film,2020,[],['Varios'],['Español']
3327,Acceso a la zona de peligro,film,2012,[],['Varios'],['Español']
3328,Aflicción,film,2015,[],['Varios'],['Español']
3329,(Des)atendidos,short,2019,[],['Varios'],['Español']
3330,Conductores del cambio,short,2019,[],['Varios'],['Español']
3331,Papá Cohiba,short,2019,"['Omar Felipe Mauri', 'Adonis Rodriguez', 'Sara Rivero']",['Español'],['Inglés']
3332,L'Horru,serie,2021,[],['Español'],[]
3333,Revelando a Mario,film,2020,[],['Español'],[]
3334,Petra,film,2018,"['Bárbara Lennie', 'Alex Brendemühl', 'Marisa Paredes', 'Joan Botey', 'Oriol Pla', 'Petra Martinez', 'Chema del Barco']",['Español'],[]
3335,Tom,film,2015,[],['Inglés'],"['Español', 'Euskera']"
3336,We Go Way Back,film,2006,"['Sullivan Brown', 'Kate Bayley', 'Aaron Blakely', 'Maggie Brown', 'Sean Cook']",['Inglés'],['Español']
3337,La Mami,film,2019,[],['Español'],"['Español', 'Inglés']"
3338,Singled (Out),film,2017,[],['Inglés'],"['Español', 'Catalán', 'Inglés']"
3339,Siento haberme ahogado,short,2017,[],['Español'],['Español']
3340,El Rey Elefante,film,2017,[],['Español'],[]
3341,Oleg,film,2019,"['Valentin Novopolskij', 'Dawid Ogrodnik', 'Anna Próchniak', 'Adam Szyszkowski', 'Guna Zarina']",['Varios'],"['Español', 'Catalán', 'Inglés']"
3342,Atlantis,film,2019,"['Andrei Rimaruk', 'Liudmila Bileka', 'Vasil Antoniak']",['Ucraniano'],"['Español', 'Catalán', 'Inglés']"
